DEPARTAMENTO,PROVINCIA,DISTRITO,Population
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,36834
AMAZONAS,CHACHAPOYAS,ASUNCION,265
AMAZONAS,CHACHAPOYAS,BALSAS,1243
AMAZONAS,CHACHAPOYAS,CHETO,654
AMAZONAS,CHACHAPOYAS,CHILIQUIN,600
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,1998
AMAZONAS,CHACHAPOYAS,GRANADA,496
AMAZONAS,CHACHAPOYAS,HUANCAS,1330
AMAZONAS,CHACHAPOYAS,LA JALCA,4364
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,3913
AMAZONAS,CHACHAPOYAS,LEVANTO,819
AMAZONAS,CHACHAPOYAS,MAGDALENA,894
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,1469
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,2365
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,497
AMAZONAS,CHACHAPOYAS,OLLEROS,403
AMAZONAS,CHACHAPOYAS,QUINJALCA,805
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,295
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,598
AMAZONAS,CHACHAPOYAS,SOLOCO,1287
AMAZONAS,CHACHAPOYAS,SONCHE,250
AMAZONAS,BAGUA,BAGUA,29538
AMAZONAS,BAGUA,ARAMANGO,10733
AMAZONAS,BAGUA,COPALLIN,5040
AMAZONAS,BAGUA,EL PARCO,1306
AMAZONAS,BAGUA,IMAZA,30997
AMAZONAS,BAGUA,LA PECA,6831
AMAZONAS,BONGARA,JUMBILLA,1372
AMAZONAS,BONGARA,CHISQUILLA,306
AMAZONAS,BONGARA,CHURUJA,284
AMAZONAS,BONGARA,COROSHA,807
AMAZONAS,BONGARA,CUISPES,690
AMAZONAS,BONGARA,FLORIDA,6520
AMAZONAS,BONGARA,JAZAN,8190
AMAZONAS,BONGARA,RECTA,210
AMAZONAS,BONGARA,SAN CARLOS,488
AMAZONAS,BONGARA,SHIPASBAMBA,1639
AMAZONAS,BONGARA,VALERA,897
AMAZONAS,BONGARA,YAMBRASBAMBA,6013
AMAZONAS,CONDORCANQUI,NIEVA,22172
AMAZONAS,CONDORCANQUI,EL CENEPA,12118
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,17506
AMAZONAS,LUYA,LAMUD,2359
AMAZONAS,LUYA,CAMPORREDONDO,7425
AMAZONAS,LUYA,COCABAMBA,2149
AMAZONAS,LUYA,COLCAMAR,2030
AMAZONAS,LUYA,CONILA,1974
AMAZONAS,LUYA,INGUILPATA,488
AMAZONAS,LUYA,LONGUITA,904
AMAZONAS,LUYA,LONYA CHICO,865
AMAZONAS,LUYA,LUYA,4184
AMAZONAS,LUYA,LUYA VIEJO,399
AMAZONAS,LUYA,MARIA,784
AMAZONAS,LUYA,OCALLI,3969
AMAZONAS,LUYA,OCUMAL,3817
AMAZONAS,LUYA,PISUQUIA,5278
AMAZONAS,LUYA,PROVIDENCIA,1429
AMAZONAS,LUYA,SAN CRISTOBAL,556
AMAZONAS,LUYA,SAN FRANCISCO DE YESO,729
AMAZONAS,LUYA,SAN JERONIMO,644
AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,434
AMAZONAS,LUYA,SANTA CATALINA,2110
AMAZONAS,LUYA,SANTO TOMAS,3216
AMAZONAS,LUYA,TINGO,1362
AMAZONAS,LUYA,TRITA,1447
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,6275
AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,2735
AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,610
AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,2731
AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,2528
AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,1689
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,1547
AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC,446
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,9770
AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,501
AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,273
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,3419
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,57381
AMAZONAS,UTCUBAMBA,CAJARURO,25659
AMAZONAS,UTCUBAMBA,CUMBA,9068
AMAZONAS,UTCUBAMBA,EL MILAGRO,6561
AMAZONAS,UTCUBAMBA,JAMALCA,7482
AMAZONAS,UTCUBAMBA,LONYA GRANDE,11251
AMAZONAS,UTCUBAMBA,YAMON,3292
ANCASH,HUARAZ,HUARAZ,67795
ANCASH,HUARAZ,COCHABAMBA,1777
ANCASH,HUARAZ,COLCABAMBA,321
ANCASH,HUARAZ,HUANCHAY,1778
ANCASH,HUARAZ,INDEPENDENCIA,83982
ANCASH,HUARAZ,JANGAS,5175
ANCASH,HUARAZ,LA LIBERTAD,1149
ANCASH,HUARAZ,OLLEROS,2567
ANCASH,HUARAZ,PAMPAS GRANDE,1053
ANCASH,HUARAZ,PARIACOTO,5173
ANCASH,HUARAZ,PIRA,3639
ANCASH,HUARAZ,TARICA,7228
ANCASH,AIJA,AIJA,2222
ANCASH,AIJA,CORIS,1758
ANCASH,AIJA,HUACLLAN,374
ANCASH,AIJA,LA MERCED,1666
ANCASH,AIJA,SUCCHA,743
ANCASH,ANTONIO RAIMONDI,LLAMELLIN,3571
ANCASH,ANTONIO RAIMONDI,ACZO,2067
ANCASH,ANTONIO RAIMONDI,CHACCHO,1447
ANCASH,ANTONIO RAIMONDI,CHINGAS,1990
ANCASH,ANTONIO RAIMONDI,MIRGAS,4405
ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY,1234
ANCASH,ASUNCION,CHACAS,4977
ANCASH,ASUNCION,ACOCHACA,3115
ANCASH,BOLOGNESI,CHIQUIAN,4156
ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,251
ANCASH,BOLOGNESI,ANTONIO RAIMONDI,1041
ANCASH,BOLOGNESI,AQUIA,2280
ANCASH,BOLOGNESI,CAJACAY,1887
ANCASH,BOLOGNESI,CANIS,327
ANCASH,BOLOGNESI,COLQUIOC,2575
ANCASH,BOLOGNESI,HUALLANCA,7027
ANCASH,BOLOGNESI,HUASTA,1535
ANCASH,BOLOGNESI,HUAYLLACAYAN,1367
ANCASH,BOLOGNESI,LA PRIMAVERA,473
ANCASH,BOLOGNESI,MANGAS,506
ANCASH,BOLOGNESI,PACLLON,967
ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,511
ANCASH,BOLOGNESI,TICLLOS,689
ANCASH,CARHUAZ,CARHUAZ,16456
ANCASH,CARHUAZ,ACOPAMPA,2789
ANCASH,CARHUAZ,AMASHCA,1578
ANCASH,CARHUAZ,ANTA,2605
ANCASH,CARHUAZ,ATAQUERO,1611
ANCASH,CARHUAZ,MARCARA,10594
ANCASH,CARHUAZ,PARIAHUANCA,1468
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,2557
ANCASH,CARHUAZ,SHILLA,3062
ANCASH,CARHUAZ,TINCO,3731
ANCASH,CARHUAZ,YUNGAR,3349
ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,11472
ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,3438
ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,4441
ANCASH,CASMA,CASMA,38730
ANCASH,CASMA,BUENA VISTA ALTA,5219
ANCASH,CASMA,COMANDANTE NOEL,2333
ANCASH,CASMA,YAUTAN,9026
ANCASH,CORONGO,CORONGO,1805
ANCASH,CORONGO,ACO,390
ANCASH,CORONGO,BAMBAS,474
ANCASH,CORONGO,CUSCA,2931
ANCASH,CORONGO,LA PAMPA,1104
ANCASH,CORONGO,YANAC,676
ANCASH,CORONGO,YUPAN,735
ANCASH,HUARI,HUARI,10016
ANCASH,HUARI,ANRA,1500
ANCASH,HUARI,CAJAY,2788
ANCASH,HUARI,CHAVIN DE HUANTAR,8816
ANCASH,HUARI,HUACACHI,1923
ANCASH,HUARI,HUACCHIS,1527
ANCASH,HUARI,HUACHIS,3712
ANCASH,HUARI,HUANTAR,2873
ANCASH,HUARI,MASIN,1486
ANCASH,HUARI,PAUCAS,1678
ANCASH,HUARI,PONTO,2909
